onset	duration	trial_type	task	response_type	stim_file	correct_answer	answer	is_correct	sparse
2.5014	55.9927	augmented	listen	n/a	sounds/track9.wav	n/a	n/a	n/a	5.0014
65.5177	1.3531	augmented	response	memory	n/a	black	black	True	68.0177
79.4992	56.009	sequential	listen	n/a	sounds/track16.wav	n/a	n/a	n/a	81.9992
142.4989	4.1382	sequential	response	memory	n/a	red	black	False	144.9989
156.4968	55.9927	sequential	listen	n/a	sounds/track18.wav	n/a	n/a	n/a	158.9968
219.4966	25.5786	sequential	response	active	sounds/track18.wav	red	red	True	221.9966
261.5241	56.009	augmented	listen	n/a	sounds/track11.wav	n/a	n/a	n/a	264.0241
324.4905	56.009	augmented	response	active	sounds/track11.wav	black	n/a	n/a	326.9905
394.4975	55.9927	concurrent	listen	n/a	sounds/track5.wav	n/a	n/a	n/a	396.9975
457.4973	56.009	concurrent	response	active	sounds/track5.wav	red	red	True	459.9973
527.5044	55.9924	concurrent	listen	n/a	sounds/track4.wav	n/a	n/a	n/a	530.0044
590.5207	3.4719	concurrent	response	memory	n/a	black	red	False	593.0207
